start training...
Epoch: 16000, Train Loss: 0.000990, Test Loss: 0.001229
Epoch: 16100, Train Loss: 0.000979, Test Loss: 0.001219
Epoch: 16200, Train Loss: 0.000973, Test Loss: 0.001215
Epoch: 16300, Train Loss: 0.000965, Test Loss: 0.001207
Epoch: 16400, Train Loss: 0.000961, Test Loss: 0.001204
Epoch: 16500, Train Loss: 0.001016, Test Loss: 0.001245
Epoch: 16600, Train Loss: 0.000946, Test Loss: 0.001192
Epoch: 16700, Train Loss: 0.000941, Test Loss: 0.001187
Epoch: 16800, Train Loss: 0.000941, Test Loss: 0.001185
Epoch: 16900, Train Loss: 0.000929, Test Loss: 0.001178
Epoch: 17000, Train Loss: 0.001023, Test Loss: 0.001298
Epoch: 17100, Train Loss: 0.000930, Test Loss: 0.001175
Epoch: 17200, Train Loss: 0.000912, Test Loss: 0.001163
Epoch: 17300, Train Loss: 0.000908, Test Loss: 0.001158
Epoch: 17400, Train Loss: 0.000975, Test Loss: 0.001252
Epoch: 17500, Train Loss: 0.001178, Test Loss: 0.001529
Epoch: 17600, Train Loss: 0.000962, Test Loss: 0.001232
Epoch: 17700, Train Loss: 0.001884, Test Loss: 0.002109
Epoch: 17800, Train Loss: 0.000889, Test Loss: 0.001146
Epoch: 17900, Train Loss: 0.000888, Test Loss: 0.001141
Epoch: 18000, Train Loss: 0.000895, Test Loss: 0.001144
Epoch: 18100, Train Loss: 0.000906, Test Loss: 0.001159
Epoch: 18200, Train Loss: 0.000875, Test Loss: 0.001121
Epoch: 18300, Train Loss: 0.000916, Test Loss: 0.001176
Epoch: 18400, Train Loss: 0.000857, Test Loss: 0.001111
Epoch: 18500, Train Loss: 0.000865, Test Loss: 0.001123
Epoch: 18600, Train Loss: 0.000862, Test Loss: 0.001108
Epoch: 18700, Train Loss: 0.000844, Test Loss: 0.001098
Epoch: 18800, Train Loss: 0.000892, Test Loss: 0.001198
Epoch: 18900, Train Loss: 0.000906, Test Loss: 0.001165
Epoch: 19000, Train Loss: 0.000837, Test Loss: 0.001088
Epoch: 19100, Train Loss: 0.000823, Test Loss: 0.001080
Epoch: 19200, Train Loss: 0.000826, Test Loss: 0.001078
Epoch: 19300, Train Loss: 0.000817, Test Loss: 0.001075
Epoch: 19400, Train Loss: 0.000902, Test Loss: 0.001210
Epoch: 19500, Train Loss: 0.000811, Test Loss: 0.001070
Epoch: 19600, Train Loss: 0.000811, Test Loss: 0.001067
Epoch: 19700, Train Loss: 0.000803, Test Loss: 0.001060
Epoch: 19800, Train Loss: 0.000830, Test Loss: 0.001082
Epoch: 19900, Train Loss: 0.000799, Test Loss: 0.001056
Epoch: 20000, Train Loss: 0.000790, Test Loss: 0.007916
Epoch: 20100, Train Loss: 0.000792, Test Loss: 0.001045
Epoch: 20200, Train Loss: 0.000787, Test Loss: 0.001044
Epoch: 20300, Train Loss: 0.000784, Test Loss: 0.001043
Epoch: 20400, Train Loss: 0.000780, Test Loss: 0.001042
Epoch: 20500, Train Loss: 0.000863, Test Loss: 0.001141
Epoch: 20600, Train Loss: 0.000775, Test Loss: 0.001039
Epoch: 20700, Train Loss: 0.000772, Test Loss: 0.001037
Epoch: 20800, Train Loss: 0.000770, Test Loss: 0.001035
Epoch: 20900, Train Loss: 0.000767, Test Loss: 0.001033
Epoch: 21000, Train Loss: 0.000764, Test Loss: 0.001031
Epoch: 21100, Train Loss: 0.000787, Test Loss: 0.001049
Epoch: 21200, Train Loss: 0.000759, Test Loss: 0.001027
Epoch: 21300, Train Loss: 0.000756, Test Loss: 0.001025
Epoch: 21400, Train Loss: 0.000763, Test Loss: 0.001038
Epoch: 21500, Train Loss: 0.000781, Test Loss: 0.001037
Epoch: 21600, Train Loss: 0.000750, Test Loss: 0.001019
Epoch: 21700, Train Loss: 0.000745, Test Loss: 0.001016
