(5999, 50)
start training...
Epoch: 15600, Train Loss: 0.001016, Test Loss: 0.001530
Epoch: 15700, Train Loss: 0.000956, Test Loss: 0.001513
Epoch: 15800, Train Loss: 0.000947, Test Loss: 0.001508
Epoch: 15900, Train Loss: 0.000942, Test Loss: 0.001506
Epoch: 16000, Train Loss: 0.000935, Test Loss: 0.001499
Epoch: 16100, Train Loss: 0.000931, Test Loss: 0.001501
Epoch: 16200, Train Loss: 0.001465, Test Loss: 0.001927
Epoch: 16300, Train Loss: 0.000993, Test Loss: 0.001537
Epoch: 16400, Train Loss: 0.001289, Test Loss: 0.001699
Epoch: 16500, Train Loss: 0.000915, Test Loss: 0.001485
Epoch: 16600, Train Loss: 0.001437, Test Loss: 0.001888
Epoch: 16700, Train Loss: 0.000948, Test Loss: 0.001535
Epoch: 16800, Train Loss: 0.000902, Test Loss: 0.001480
Epoch: 16900, Train Loss: 0.000937, Test Loss: 0.001532
Epoch: 17000, Train Loss: 0.000901, Test Loss: 0.001483
Epoch: 17100, Train Loss: 0.000891, Test Loss: 0.001465
Epoch: 17200, Train Loss: 0.000961, Test Loss: 0.001548
Epoch: 17300, Train Loss: 0.000872, Test Loss: 0.001460
Epoch: 17400, Train Loss: 0.000899, Test Loss: 0.001479
Epoch: 17500, Train Loss: 0.000864, Test Loss: 0.001453
Epoch: 17600, Train Loss: 0.000863, Test Loss: 0.001452
Epoch: 17700, Train Loss: 0.000946, Test Loss: 0.001532
Epoch: 17800, Train Loss: 0.000860, Test Loss: 0.001451
Epoch: 17900, Train Loss: 0.000846, Test Loss: 0.001439
Epoch: 18000, Train Loss: 0.000857, Test Loss: 0.001441
Epoch: 18100, Train Loss: 0.000836, Test Loss: 0.001436
Epoch: 18200, Train Loss: 0.000855, Test Loss: 0.001446
Epoch: 18300, Train Loss: 0.000830, Test Loss: 0.001432
Epoch: 18400, Train Loss: 0.000828, Test Loss: 0.001427
Epoch: 18500, Train Loss: 0.000965, Test Loss: 0.001478
Epoch: 18600, Train Loss: 0.000820, Test Loss: 0.001424
Epoch: 18700, Train Loss: 0.000817, Test Loss: 0.001424
Epoch: 18800, Train Loss: 0.000820, Test Loss: 0.001430
Epoch: 18900, Train Loss: 0.000913, Test Loss: 0.001498
Epoch: 19000, Train Loss: 0.000804, Test Loss: 0.001418
Epoch: 19100, Train Loss: 0.000800, Test Loss: 0.001413
Epoch: 19200, Train Loss: 0.000827, Test Loss: 0.001422
Epoch: 19300, Train Loss: 0.000792, Test Loss: 0.001411
Epoch: 19400, Train Loss: 0.000798, Test Loss: 0.001423
Epoch: 19500, Train Loss: 0.001046, Test Loss: 0.001527
Epoch: 19600, Train Loss: 0.000789, Test Loss: 0.001410
Epoch: 19700, Train Loss: 0.000908, Test Loss: 0.001517
Epoch: 19800, Train Loss: 0.000779, Test Loss: 0.001403
Epoch: 19900, Train Loss: 0.000804, Test Loss: 0.001417
Epoch: 20000, Train Loss: 0.000770, Test Loss: 0.008766
Epoch: 20100, Train Loss: 0.000778, Test Loss: 0.001402
Epoch: 20200, Train Loss: 0.000770, Test Loss: 0.001396
Epoch: 20300, Train Loss: 0.000764, Test Loss: 0.001399
Epoch: 20400, Train Loss: 0.000762, Test Loss: 0.001397
Epoch: 20500, Train Loss: 0.000760, Test Loss: 0.001396
Epoch: 20600, Train Loss: 0.000757, Test Loss: 0.001396
Epoch: 20700, Train Loss: 0.000757, Test Loss: 0.001399
Epoch: 20800, Train Loss: 0.000752, Test Loss: 0.001397
Epoch: 20900, Train Loss: 0.000754, Test Loss: 0.001395
Epoch: 21000, Train Loss: 0.000760, Test Loss: 0.001408
Epoch: 21100, Train Loss: 0.000747, Test Loss: 0.001397
Epoch: 21200, Train Loss: 0.000779, Test Loss: 0.001420
Epoch: 21300, Train Loss: 0.000750, Test Loss: 0.001404
Epoch: 21400, Train Loss: 0.000754, Test Loss: 0.001410
Epoch: 21500, Train Loss: 0.000775, Test Loss: 0.001413
Epoch: 21600, Train Loss: 0.000737, Test Loss: 0.001398
Epoch: 21700, Train Loss: 0.000753, Test Loss: 0.001402
Epoch: 21800, Train Loss: 0.000733, Test Loss: 0.001395
Epoch: 21900, Train Loss: 0.000752, Test Loss: 0.001415
Epoch: 22000, Train Loss: 0.000735, Test Loss: 0.001398
